Warning 2020-01-21 11:44:05:0628  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0275)     Description:Driver mode failed, DriverInstalled[0x80000207], DriverVersion[0x1030103], Socket mode start!     Solution:
Info    2020-01-21 14:15:16:0469  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2310)     Description:GigE StreamInterEventThread Start, ThreadId[4948]     Solution:
Info    2020-01-21 14:22:13:0035  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0549)     Description:GVSP recv thread stop     Solution:
Info    2020-01-21 14:22:13:0035  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2072)     Description:AppGetCount[12488], AppGetCountSucceed[12488], NetRecv[12499], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[10], LostPackets[0]     Solution:
Info    2020-01-21 14:22:13:0058  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2072)     Description:AppGetCount[12488], AppGetCountSucceed[12488], NetRecv[12499], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[10], LostPackets[0]     Solution:
Info    2020-01-21 14:22:13:0060  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L4662)     Description:SetTransmissionType[0x0], nRet[0x0], GvspSendIp[0xc0a80117], GvspSendPort[55901], HostIp[0xc0a80117], HostPort[55901]     Solution:
Info    2020-01-21 14:22:13:0060  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1080)     Description:Disconnect device     Solution:
Info    2020-01-21 14:22:13:0074  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2072)     Description:AppGetCount[12488], AppGetCountSucceed[12488], NetRecv[12499], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[10], LostPackets[0]     Solution:
Info    2020-01-21 14:22:13:0209  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0601)     Description:[socket] NearBID[0], LastBID[0], output[0]     Solution:
Warning 2020-01-21 14:23:30:0516  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0275)     Description:Driver mode failed, DriverInstalled[0x80000207], DriverVersion[0x1030103], Socket mode start!     Solution:
Info    2020-01-21 14:23:30:0517  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1004)     Description:Connecting device, hostIP[0xc0a80117], hostPort[58066], devIP[0xc0a8010b]     Solution:
Info    2020-01-21 14:23:30:0885  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3213)     Description:Get Local Mtu [1514]!     Solution:
Info    2020-01-21 14:23:30:0898  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3339)     Description:Optimal PacketSize [1500]!     Solution:
Info    2020-01-21 14:23:31:0007  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0356)     Description:GVSP GVSPThread Start, ThreadId[7324]     Solution:
Info    2020-01-21 14:23:31:0007  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2310)     Description:GigE StreamInterEventThread Start, ThreadId[8012]     Solution:
Info    2020-01-21 14:29:02:0051  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0549)     Description:GVSP recv thread stop     Solution:
Info    2020-01-21 14:29:02:0051  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2072)     Description:AppGetCount[9929], AppGetCountSucceed[9929], NetRecv[9932], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[2], LostPackets[0]     Solution:
Info    2020-01-21 14:29:02:0075  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2072)     Description:AppGetCount[9929], AppGetCountSucceed[9929], NetRecv[9932], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[2], LostPackets[0]     Solution:
Info    2020-01-21 14:29:02:0077  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L4662)     Description:SetTransmissionType[0x0], nRet[0x0], GvspSendIp[0xc0a80117], GvspSendPort[58066], HostIp[0xc0a80117], HostPort[58066]     Solution:
Info    2020-01-21 14:29:02:0077  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1080)     Description:Disconnect device     Solution:
Info    2020-01-21 14:29:02:0091  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2072)     Description:AppGetCount[9929], AppGetCountSucceed[9929], NetRecv[9932], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[2], LostPackets[0]     Solution:
Info    2020-01-21 14:29:02:0470  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0601)     Description:[socket] NearBID[0], LastBID[0], output[0]     Solution:
Warning 2020-01-21 14:30:01:0457  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0275)     Description:Driver mode failed, DriverInstalled[0x80000207], DriverVersion[0x1030103], Socket mode start!     Solution:
Info    2020-01-21 14:30:01:0459  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1004)     Description:Connecting device, hostIP[0xc0a80117], hostPort[58146], devIP[0xc0a8010b]     Solution:
Info    2020-01-21 14:30:01:0839  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3213)     Description:Get Local Mtu [1514]!     Solution:
Info    2020-01-21 14:30:01:0852  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3339)     Description:Optimal PacketSize [1500]!     Solution:
Info    2020-01-21 14:30:01:0961  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0356)     Description:GVSP GVSPThread Start, ThreadId[3924]     Solution:
Info    2020-01-21 14:30:01:0961  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2310)     Description:GigE StreamInterEventThread Start, ThreadId[7764]     Solution:
Info    2020-01-21 15:10:34:0024  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0549)     Description:GVSP recv thread stop     Solution:
Info    2020-01-21 15:10:34:0024  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2072)     Description:AppGetCount[72986], AppGetCountSucceed[72986], NetRecv[72989], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[3], LostPackets[1]     Solution:
