"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C27","0603C-B","75.518mm","-20.1248mm","75.518mm","-19.1596mm","75.518mm","-19.1596mm","B","270.00","47pF 0603 X7R 50V K"
"C26","0603C-B","72.44mm","-20.1052mm","72.44mm","-19.14mm","72.44mm","-19.14mm","B","270.00","47pF 0603 X7R 50V K"
"C25","0603C-B","61.2948mm","-21.66mm","62.26mm","-21.66mm","62.26mm","-21.66mm","B","180.00","47pF 0603 X7R 50V K"
"C24","0603C-B","47.4mm","-7.7348mm","47.4mm","-8.7mm","47.4mm","-8.7mm","B","90.00","100nF 0603 X7R 50V K"
"C23","0603C-B","69.2681mm","-12.4213mm","69.2681mm","-13.3865mm","69.2681mm","-13.3865mm","B","90.00","1nF 0603 X7R 50V K"
"C22","0603C-B","58.1167mm","-11.8813mm","58.1167mm","-12.8465mm","58.1167mm","-12.8465mm","B","90.00","1nF 0603 X7R 50V K"
"R30","1210R","68.08mm","15.7055mm","68.08mm","17.42mm","68.08mm","17.42mm","B","270.00","56R 0603 J"
"SCR3","ACS120-7SB","37.8022mm","33.9598mm","37.8144mm","37.8924mm","40.1022mm","30.0348mm","B","180.00","BTA204S-800E or ACTT2S-800E"
"C1","0603C-B","-7.47mm","-11.9348mm","-7.47mm","-12.9mm","-7.47mm","-12.9mm","B","90.00","100nF 0603 X7R 50V K"
"C4","0603C-B","10.3278mm","-23.9531mm","10.3278mm","-22.9879mm","10.3278mm","-22.9879mm","B","270.00","100nF 0603 Y5V 50V Z"
"C6","0603C-B","18.2mm","-24.3852mm","18.2mm","-23.42mm","18.2mm","-23.42mm","B","270.00","100nF 0603 Y5V 50V Z"
"C8","0603C-B","85.132mm","4.1052mm","85.132mm","3.14mm","85.132mm","3.14mm","B","90.00","100nF 0603 Y5V 50V Z"
"C9","0603C-B","59.7167mm","-11.8813mm","59.7167mm","-12.8465mm","59.7167mm","-12.8465mm","B","90.00","100nF 0603 Y5V 50V Z"
"C11","0603C-B","88.67mm","4.1052mm","88.67mm","3.14mm","88.67mm","3.14mm","B","90.00","100nF 0603 Y5V 50V Z"
"C12","0603C-B","67.6395mm","-12.4213mm","67.6395mm","-13.3865mm","67.6395mm","-13.3865mm","B","90.00","100nF 0603 Y5V 50V Z"
"C13","0603C-B","76.08mm","-12.2852mm","76.08mm","-11.32mm","76.08mm","-11.32mm","B","270.00","100nF 0603 Y5V 50V Z"
"C14","0603C-B","94.518mm","4.1052mm","94.518mm","3.14mm","94.518mm","3.14mm","B","90.00","1nF 0603 X7R 50V Z"
"C15","0603C-B","70.75mm","11.7652mm","70.75mm","12.7304mm","70.75mm","12.7304mm","B","270.00","470pF 0603 X7R 50V K"
"C16","0603C-B","67.48mm","10.5352mm","67.48mm","11.5004mm","67.48mm","11.5004mm","B","270.00","330nF 0603 Y5V 50V Z"
"C17","0603C-B","70.8967mm","-12.4213mm","70.8967mm","-13.3865mm","70.8967mm","-13.3865mm","B","90.00","100nF 0603 Y5V 50V Z"
"C18","0603C-B","44.5mm","-17.1652mm","44.5mm","-16.2mm","44.5mm","-16.2mm","B","270.00","100nF 0603 Y5V 50V Z"
"R1","0603R-B","-4.5652mm","-12.9mm","-3.6mm","-12.9mm","-3.6mm","-12.9mm","B","180.00","12K 0603 F"
"R2","0603R-B","-2.37mm","-19.4348mm","-2.37mm","-20.4mm","-2.37mm","-20.4mm","B","90.00","2K 0603 F"
"R4","0603R-B","19.9854mm","6.4824mm","19.9854mm","7.4476mm","19.9854mm","7.4476mm","B","270.00","2K2 0603 J"
"R5","0603R-B","21.1mm","-6.9348mm","21.1mm","-5.9696mm","21.1mm","-5.9696mm","B","270.00","2K2 0603 J"
"R17","0603R-B","86.762mm","6.2352mm","86.762mm","7.2004mm","86.762mm","7.2004mm","B","270.00","220K 0603 J"
"R22","0603R-B","40mm","-17.6652mm","40mm","-16.7mm","40mm","-16.7mm","B","270.00","4K7 0603 J"
"R23","0603R-B","90.31mm","6.2352mm","90.31mm","7.2004mm","90.31mm","7.2004mm","B","270.00","220K 0603 J"
"R26","0603R-B","77.78mm","-12.2852mm","77.78mm","-13.2504mm","77.78mm","-13.2504mm","B","90.00","10K 0603 J"
"R27","0603R-B","92.858mm","6.2606mm","92.858mm","7.2258mm","92.858mm","7.2258mm","B","270.00","220K 0603 J"
"R31","0603R-B","69.258mm","10.5352mm","69.258mm","9.57mm","69.258mm","9.57mm","B","90.00","33K 0603 J"
"R34","0603R-B","37.9mm","-16.5208mm","37.9mm","-17.486mm","37.9mm","-17.486mm","B","90.00","4K7 0603 F"
"R36","0603R-B","25.421mm","-18.7284mm","25.421mm","-19.6936mm","25.421mm","-19.6936mm","B","90.00","4K7 0603 F"
"R37","0603R-B","47.7mm","-2.8652mm","47.7mm","-1.9mm","47.7mm","-1.9mm","B","270.00","2K 0603 F"
"SCR6","SCR_SOT223","57.824mm","23.2942mm","57.83mm","23.29mm","57.824mm","20.1942mm","B","360.00","ACT108W-600E"
"TR1","SOT-23","100.5059mm","-13.0625mm","99.02mm","-14.015mm","99.02mm","-12.11mm","B","90.00","KRA105S SOT-23"
"TR2","SOT-23","25.8065mm","-7.6207mm","24.854mm","-6.1348mm","25.8192mm","-9.1066mm","B","360.00","KRC118S SOT-23"
"TR3","SOT-23","26.6525mm","6.2281mm","25.7mm","7.714mm","26.6652mm","4.7422mm","B","360.00","KRC118S SOT-23"
"TR4","SOT-23","89.5001mm","-19.4659mm","88.5476mm","-17.98mm","90.4526mm","-17.98mm","B","360.00","KRA105S SOT-23"
"C10","0603C-B","70.8615mm","-9.4mm","71.8267mm","-9.4mm","71.8267mm","-9.4mm","B","180.00","680nF 0603 Y5V 50V Z"
"R44","0603R-B","38.9mm","-0.5652mm","38.9mm","0.4mm","38.9mm","0.4mm","B","270.00","2K 0603 F"
"R35","0603R-B","77.36mm","11.1152mm","77.36mm","10.15mm","77.36mm","10.15mm","B","90.00","220R 0603 J"
"R41","0603R-B","47.1476mm","2.3652mm","47.1476mm","1.4mm","47.1476mm","1.4mm","B","90.00","2K 0603 F"
"R43","0603R-B","44.5mm","3.9348mm","44.5mm","2.9696mm","44.5mm","2.9696mm","B","90.00","2K 0603 F"
"R46","0603R-B","36.4mm","1.8348mm","36.4mm","2.8mm","36.4mm","2.8mm","B","270.00","2K 0603 F"
"R48","0603R-B","83.0348mm","-7.22mm","84mm","-7.22mm","84mm","-7.22mm","B","180.00","10K 0603 J"
"R47","0603R-B","39.6mm","3.9348mm","39.6mm","4.9mm","39.6mm","4.9mm","B","270.00","2K 0603 F"
"R45","0603R-B","41.9mm","3.9348mm","41.9mm","2.9696mm","41.9mm","2.9696mm","B","90.00","2K 0603 F"
"R40","0603R-B","36.4mm","-7.3652mm","36.4mm","-6.4mm","36.4mm","-6.4mm","B","270.00","2K 0603 F"
"R38","0603R-B","39.9mm","-9.2652mm","39.9mm","-8.3mm","39.9mm","-8.3mm","B","270.00","2K 0603 F"
"R29","0603R-B","41.9mm","-17.6652mm","41.9mm","-16.7mm","41.9mm","-16.7mm","B","270.00","200R 0603 F"
"R42","0603R-B","36.4mm","-2.7652mm","36.4mm","-1.8mm","36.4mm","-1.8mm","B","270.00","2K 0603 F"
"R25","0603R-B","95.1mm","-22.0652mm","95.1mm","-23.0304mm","95.1mm","-23.0304mm","B","90.00","2K2 0603 J"
"D4","SOT-23","100.9175mm","-17.7841mm","101.87mm","-19.27mm","99.965mm","-19.27mm","B","180.00","MMBD4148 SOT-23"
"D5","SOT-23","96.0221mm","-26.4399mm","95.0696mm","-24.954mm","96.0348mm","-27.9258mm","B","360.00","MMBD4148 SOT-23"
"D6","SOT-23","84.1759mm","10.8453mm","85.1284mm","9.3594mm","85.1284mm","9.3594mm","B","180.00","BAT54S SOT-23"
"D7","SOT-23","91.6769mm","10.8961mm","92.6294mm","9.4102mm","92.6294mm","9.4102mm","B","180.00","BAT54S SOT-23"
"D8","SOT-23","87.9645mm","10.6929mm","88.917mm","9.207mm","88.917mm","9.207mm","B","180.00","BAT54S SOT-23"
"D9","SOT-23","34.1107mm","-16.9555mm","35.0632mm","-18.4414mm","35.0632mm","-18.4414mm","B","180.00","BAT54S SOT-23"
"RJ11","1206J","68.72mm","5.5207mm","68.72mm","3.73mm","68.72mm","3.73mm","B","90.00","Comment"
"RJ12","1206J","76.87mm","16.4193mm","76.87mm","18.21mm","76.87mm","18.21mm","B","270.00","Comment"
"RJ13","1206J","63.7093mm","-13.3mm","65.5mm","-13.3mm","65.5mm","-13.3mm","B","180.00","Comment"
"RJ14","1206J","73.5mm","-13.3907mm","73.5mm","-11.6mm","73.5mm","-11.6mm","B","270.00","Comment"
"RJ15","1206J","63.7093mm","-16.3mm","65.5mm","-16.3mm","65.5mm","-16.3mm","B","180.00","Comment"
"RJ16","1206J","57.2093mm","-15.2mm","59mm","-15.2mm","59mm","-15.2mm","B","180.00","Comment"
"RJ1","1206J","36.45mm","-24.3907mm","36.45mm","-22.6mm","36.45mm","-22.6mm","B","270.00","Comment"
"RJ17","1206J","103.2893mm","-22.27mm","105.08mm","-22.27mm","105.08mm","-22.27mm","B","180.00","Comment"
"RJ18","1206J","30.3907mm","-26.7mm","28.6mm","-26.7mm","28.6mm","-26.7mm","B","360.00","Comment"
"R52","1206J","73.09mm","13.5293mm","73.09mm","15.32mm","73.09mm","15.32mm","B","270.00","Comment"

